feature,score
rThirdParty_Info_Period2_13,281
rThirdParty_Info_Period3_15,278
rThirdParty_Info_Period2_17,271
rThirdParty_Info_Period4_15,269
rThirdParty_Info_Period1_17,269
rThirdParty_Info_Period2_14,266
rThirdParty_Info_Period2_15,259
rThirdParty_Info_Period2_5,259
rUserInfo_18,256
rThirdParty_Info_Period2_1,256
rThirdParty_Info_Period1_4,254
rThirdParty_Info_Period2_8,254
rThirdParty_Info_Period1_15,253
rThirdParty_Info_Period5_17,248
rThirdParty_Info_Period1_13,247
rThirdParty_Info_Period3_3,246
rThirdParty_Info_Period3_17,242
rThirdParty_Info_Period1_3,240
rThirdParty_Info_Period5_14,239
rThirdParty_Info_Period4_5,239
rThirdParty_Info_Period1_16,234
rThirdParty_Info_Period2_16,232
rThirdParty_Info_Period5_15,232
rThirdParty_Info_Period2_3,232
rThirdParty_Info_Period4_3,232
rThirdParty_Info_Period3_14,231
rThirdParty_Info_Period4_14,230
rThirdParty_Info_Period5_5,229
rThirdParty_Info_Period2_2,229
rThirdParty_Info_Period3_16,227
rThirdParty_Info_Period3_8,226
rThirdParty_Info_Period4_13,224
rThirdParty_Info_Period3_5,224
rThirdParty_Info_Period1_8,223
rThirdParty_Info_Period3_1,222
rThirdParty_Info_Period3_13,221
rThirdParty_Info_Period1_14,217
rThirdParty_Info_Period3_2,215
rThirdParty_Info_Period5_13,213
rThirdParty_Info_Period1_5,208
rThirdParty_Info_Period4_1,206
rThirdParty_Info_Period4_16,204
rThirdParty_Info_Period2_7,204
rThirdParty_Info_Period2_6,203
rThirdParty_Info_Period5_3,203
rThirdParty_Info_Period4_17,202
rThirdParty_Info_Period3_4,201
rThirdParty_Info_Period2_4,199
rThirdParty_Info_Period1_7,195
rThirdParty_Info_Period6_15,191
rThirdParty_Info_Period1_2,189
rThirdParty_Info_Period6_13,185
rThirdParty_Info_Period1_1,185
rThirdParty_Info_Period6_17,183
rThirdParty_Info_Period6_14,183
rThirdParty_Info_Period4_4,183
rThirdParty_Info_Period1_6,182
rWeblogInfo_7,182
rThirdParty_Info_Period4_2,181
rThirdParty_Info_Period3_6,178
rThirdParty_Info_Period6_3,174
rThirdParty_Info_Period6_5,173
rThirdParty_Info_Period5_8,172
rThirdParty_Info_Period4_8,168
rThirdParty_Info_Period3_7,165
rSocialNetwork_8,164
rThirdParty_Info_Period5_16,162
rWeblogInfo_17,162
rSocialNetwork_10,158
rThirdParty_Info_Period5_1,158
rThirdParty_Info_Period6_1,157
rThirdParty_Info_Period5_2,157
rThirdParty_Info_Period5_6,152
rThirdParty_Info_Period2_11,148
rThirdParty_Info_Period5_4,148
rThirdParty_Info_Period5_7,145
rThirdParty_Info_Period6_2,142
rThirdParty_Info_Period4_7,141
rSocialNetwork_9,140
rThirdParty_Info_Period3_11,137
rThirdParty_Info_Period6_16,137
rThirdParty_Info_Period4_6,137
rWeblogInfo_16,136
rThirdParty_Info_Period6_7,136
rThirdParty_Info_Period6_4,130
rThirdParty_Info_Period4_11,129
rThirdParty_Info_Period6_8,129
rThirdParty_Info_Period1_11,126
rWeblogInfo_4,120
rWeblogInfo_15,113
rThirdParty_Info_Period1_9,112
rThirdParty_Info_Period3_9,109
rThirdParty_Info_Period2_9,109
rThirdParty_Info_Period6_6,108
rThirdParty_Info_Period6_11,104
rWeblogInfo_18,104
rWeblogInfo_6,101
rThirdParty_Info_Period5_11,93
rThirdParty_Info_Period5_9,88
rWeblogInfo_5,80
rThirdParty_Info_Period4_9,80
rThirdParty_Info_Period3_12,66
rWeblogInfo_8,64
rThirdParty_Info_Period2_12,63
rUserInfo_10,57
rThirdParty_Info_Period6_9,57
rThirdParty_Info_Period1_12,55
rThirdParty_Info_Period1_10,55
rThirdParty_Info_Period4_12,51
rThirdParty_Info_Period5_12,49
rWeblogInfo_14,48
rThirdParty_Info_Period6_12,47
rThirdParty_Info_Period2_10,46
rWeblogInfo_24,45
rWeblogInfo_30,43
rSocialNetwork_13,36
rWeblogInfo_2,33
rThirdParty_Info_Period3_10,32
rWeblogInfo_27,31
rWeblogInfo_33,30
rWeblogInfo_36,28
rSocialNetwork_17,26
rThirdParty_Info_Period6_10,24
rThirdParty_Info_Period5_10,24
rThirdParty_Info_Period4_10,22
rWeblogInfo_42,16
