feature,score
rThirdParty_Info_Period1_14,289
rThirdParty_Info_Period2_3,267
rThirdParty_Info_Period5_15,261
rThirdParty_Info_Period3_5,252
rThirdParty_Info_Period2_5,251
rThirdParty_Info_Period2_15,250
rThirdParty_Info_Period2_17,247
rThirdParty_Info_Period1_17,243
rThirdParty_Info_Period4_15,242
rThirdParty_Info_Period3_15,242
rThirdParty_Info_Period2_2,241
rThirdParty_Info_Period2_8,241
rThirdParty_Info_Period5_17,240
rThirdParty_Info_Period1_13,240
rThirdParty_Info_Period1_15,239
rThirdParty_Info_Period3_17,236
rThirdParty_Info_Period2_13,236
rThirdParty_Info_Period4_3,235
rThirdParty_Info_Period2_16,233
rThirdParty_Info_Period3_14,232
rThirdParty_Info_Period5_14,229
rThirdParty_Info_Period4_5,229
rThirdParty_Info_Period2_14,228
rThirdParty_Info_Period3_4,227
rThirdParty_Info_Period1_8,227
rThirdParty_Info_Period4_17,221
rThirdParty_Info_Period1_4,220
rThirdParty_Info_Period3_13,219
rThirdParty_Info_Period1_7,218
rThirdParty_Info_Period2_4,216
rUserInfo_18,215
rThirdParty_Info_Period3_3,214
rThirdParty_Info_Period3_1,209
rThirdParty_Info_Period3_2,207
rThirdParty_Info_Period4_16,206
rThirdParty_Info_Period1_16,205
rThirdParty_Info_Period3_16,202
rWeblogInfo_7,200
rThirdParty_Info_Period6_13,198
rThirdParty_Info_Period2_1,197
rThirdParty_Info_Period4_14,196
rThirdParty_Info_Period2_7,196
rThirdParty_Info_Period2_6,196
rThirdParty_Info_Period5_5,194
rThirdParty_Info_Period5_13,193
rThirdParty_Info_Period1_3,193
rThirdParty_Info_Period5_4,189
rThirdParty_Info_Period1_1,185
rThirdParty_Info_Period4_1,185
rThirdParty_Info_Period4_2,185
rThirdParty_Info_Period4_13,184
rThirdParty_Info_Period5_16,184
rThirdParty_Info_Period5_3,183
rThirdParty_Info_Period3_7,182
rThirdParty_Info_Period1_5,177
rThirdParty_Info_Period6_17,176
rThirdParty_Info_Period3_8,176
rThirdParty_Info_Period4_4,175
rThirdParty_Info_Period5_1,174
rThirdParty_Info_Period5_8,173
rThirdParty_Info_Period3_6,173
rThirdParty_Info_Period6_15,172
rThirdParty_Info_Period5_2,172
rThirdParty_Info_Period6_5,172
rThirdParty_Info_Period6_14,170
rThirdParty_Info_Period4_8,168
rThirdParty_Info_Period1_2,165
rThirdParty_Info_Period1_6,161
rThirdParty_Info_Period6_3,161
rThirdParty_Info_Period6_16,153
rWeblogInfo_17,152
rThirdParty_Info_Period6_7,152
rThirdParty_Info_Period4_7,151
rSocialNetwork_8,149
rThirdParty_Info_Period6_4,149
rThirdParty_Info_Period6_2,148
rThirdParty_Info_Period4_6,142
rThirdParty_Info_Period2_11,141
rThirdParty_Info_Period5_6,139
rSocialNetwork_10,133
rSocialNetwork_9,129
rThirdParty_Info_Period6_6,127
rThirdParty_Info_Period1_9,124
rWeblogInfo_4,123
rThirdParty_Info_Period4_11,122
rThirdParty_Info_Period6_1,122
rThirdParty_Info_Period5_7,122
rThirdParty_Info_Period3_11,119
rWeblogInfo_16,117
rThirdParty_Info_Period2_9,116
rThirdParty_Info_Period6_11,115
rThirdParty_Info_Period6_8,115
rWeblogInfo_6,114
rWeblogInfo_18,112
rThirdParty_Info_Period5_11,106
rThirdParty_Info_Period1_11,105
rThirdParty_Info_Period3_9,102
rWeblogInfo_15,94
rThirdParty_Info_Period4_9,88
rThirdParty_Info_Period5_9,77
rWeblogInfo_5,71
rUserInfo_10,67
rWeblogInfo_8,66
rThirdParty_Info_Period3_12,62
rThirdParty_Info_Period1_10,60
rWeblogInfo_24,57
rThirdParty_Info_Period6_9,56
rThirdParty_Info_Period2_10,50
rThirdParty_Info_Period2_12,48
rThirdParty_Info_Period4_12,44
rThirdParty_Info_Period5_12,44
rThirdParty_Info_Period1_12,44
rThirdParty_Info_Period6_12,43
rWeblogInfo_27,43
rThirdParty_Info_Period3_10,40
rWeblogInfo_14,39
rSocialNetwork_13,38
rWeblogInfo_2,38
rThirdParty_Info_Period4_10,29
rWeblogInfo_30,29
rWeblogInfo_33,28
rThirdParty_Info_Period5_10,26
rSocialNetwork_17,24
rWeblogInfo_36,22
rThirdParty_Info_Period6_10,18
rSocialNetwork_14,17
rWeblogInfo_39,11
rWeblogInfo_25,10
rThirdParty_Info_Period7_2,9
rSocialNetwork_4,7
rThirdParty_Info_Period7_17,7
rThirdParty_Info_Period7_4,7
rWeblogInfo_42,6
rThirdParty_Info_Period7_14,6
rWeblogInfo_29,6
rWeblogInfo_56,5
rWeblogInfo_48,5
rSocialNetwork_3,5
rWeblogInfo_9,5
rWeblogInfo_50,4
rSocialNetwork_5,4
rWeblogInfo_34,4
rWeblogInfo_28,4
rThirdParty_Info_Period7_6,4
rWeblogInfo_45,4
rWeblogInfo_38,3
rSocialNetwork_15,3
rThirdParty_Info_Period7_5,3
rWeblogInfo_51,2
rWeblogInfo_46,2
rThirdParty_Info_Period7_15,2
rWeblogInfo_31,2
rWeblogInfo_37,2
rWeblogInfo_26,2
rWeblogInfo_3,2
rThirdParty_Info_Period7_3,2
rThirdParty_Info_Period7_9,2
rWeblogInfo_53,1
rSocialNetwork_16,1
rWeblogInfo_35,1
rThirdParty_Info_Period7_16,1
rThirdParty_Info_Period7_10,1
rThirdParty_Info_Period7_12,1
rWeblogInfo_23,1
rThirdParty_Info_Period7_8,1
rThirdParty_Info_Period7_1,1
rWeblogInfo_43,1
rWeblogInfo_1,1
