feature,score
rThirdParty_Info_Period2_14,475
rThirdParty_Info_Period4_15,431
rThirdParty_Info_Period2_17,426
rThirdParty_Info_Period3_15,422
rThirdParty_Info_Period1_14,413
rThirdParty_Info_Period2_5,405
rThirdParty_Info_Period2_2,400
rUserInfo_18,396
rThirdParty_Info_Period2_1,391
rThirdParty_Info_Period1_15,389
rThirdParty_Info_Period1_5,388
rThirdParty_Info_Period2_13,387
rThirdParty_Info_Period2_15,386
rThirdParty_Info_Period2_3,383
rThirdParty_Info_Period1_13,376
rThirdParty_Info_Period5_15,374
rThirdParty_Info_Period3_5,374
rThirdParty_Info_Period3_17,370
rThirdParty_Info_Period2_8,367
rThirdParty_Info_Period2_16,362
rThirdParty_Info_Period1_1,361
rThirdParty_Info_Period2_4,360
rThirdParty_Info_Period1_2,348
rThirdParty_Info_Period1_3,348
rThirdParty_Info_Period4_14,346
rThirdParty_Info_Period1_17,346
rThirdParty_Info_Period1_8,346
rThirdParty_Info_Period4_5,346
rThirdParty_Info_Period4_17,345
rThirdParty_Info_Period3_13,344
rThirdParty_Info_Period3_14,343
rWeblogInfo_7,342
rThirdParty_Info_Period3_8,337
rThirdParty_Info_Period3_4,337
rThirdParty_Info_Period5_13,333
rThirdParty_Info_Period3_2,333
rThirdParty_Info_Period4_13,332
rThirdParty_Info_Period1_4,332
rThirdParty_Info_Period4_1,330
rThirdParty_Info_Period1_7,329
rThirdParty_Info_Period1_16,324
rThirdParty_Info_Period6_15,324
rThirdParty_Info_Period5_14,322
rThirdParty_Info_Period5_16,316
rThirdParty_Info_Period4_4,316
rThirdParty_Info_Period3_3,312
rThirdParty_Info_Period4_3,311
rThirdParty_Info_Period3_16,310
rThirdParty_Info_Period5_17,310
rThirdParty_Info_Period5_8,310
rThirdParty_Info_Period6_13,307
rThirdParty_Info_Period5_5,298
rThirdParty_Info_Period2_7,297
rThirdParty_Info_Period3_1,296
rThirdParty_Info_Period5_1,292
rThirdParty_Info_Period4_7,290
rThirdParty_Info_Period3_6,289
rThirdParty_Info_Period2_6,287
rThirdParty_Info_Period4_8,281
rThirdParty_Info_Period4_16,278
rSocialNetwork_9,277
rThirdParty_Info_Period4_2,277
