feature,score
rThirdParty_Info_Period2_17,475
rThirdParty_Info_Period1_13,450
rThirdParty_Info_Period3_14,438
rThirdParty_Info_Period2_13,437
rThirdParty_Info_Period2_5,433
rThirdParty_Info_Period2_15,427
rThirdParty_Info_Period4_15,426
rUserInfo_18,426
rThirdParty_Info_Period2_14,423
rThirdParty_Info_Period2_3,418
rThirdParty_Info_Period1_3,413
rThirdParty_Info_Period3_17,412
rThirdParty_Info_Period3_15,410
rThirdParty_Info_Period1_15,409
rThirdParty_Info_Period4_13,405
rThirdParty_Info_Period2_16,405
rThirdParty_Info_Period5_5,405
rThirdParty_Info_Period2_8,405
rThirdParty_Info_Period2_1,404
rThirdParty_Info_Period2_4,402
rThirdParty_Info_Period3_3,401
rThirdParty_Info_Period3_5,401
rThirdParty_Info_Period4_17,400
rThirdParty_Info_Period3_13,396
rThirdParty_Info_Period1_5,396
rThirdParty_Info_Period1_14,391
rThirdParty_Info_Period5_15,384
rThirdParty_Info_Period3_2,380
rThirdParty_Info_Period1_17,376
rThirdParty_Info_Period2_7,373
rThirdParty_Info_Period2_2,371
rThirdParty_Info_Period4_5,370
rThirdParty_Info_Period1_4,368
rThirdParty_Info_Period1_2,368
rThirdParty_Info_Period4_4,361
rThirdParty_Info_Period4_16,360
rThirdParty_Info_Period5_17,360
rThirdParty_Info_Period1_16,356
rThirdParty_Info_Period1_1,355
rThirdParty_Info_Period5_8,353
rThirdParty_Info_Period3_1,348
rThirdParty_Info_Period3_16,346
rThirdParty_Info_Period5_16,346
rThirdParty_Info_Period4_14,345
rWeblogInfo_7,343
rThirdParty_Info_Period4_8,342
rThirdParty_Info_Period4_3,338
rThirdParty_Info_Period3_8,337
rThirdParty_Info_Period4_1,336
rThirdParty_Info_Period5_13,332
rThirdParty_Info_Period5_14,332
rThirdParty_Info_Period1_8,332
rThirdParty_Info_Period1_7,331
rSocialNetwork_8,330
rThirdParty_Info_Period3_4,321
rThirdParty_Info_Period4_2,319
rThirdParty_Info_Period6_15,315
rThirdParty_Info_Period5_4,314
rThirdParty_Info_Period6_17,311
rThirdParty_Info_Period5_2,310
rThirdParty_Info_Period3_6,307
rThirdParty_Info_Period5_3,303
rThirdParty_Info_Period6_14,301
rThirdParty_Info_Period4_6,301
rThirdParty_Info_Period5_1,296
rThirdParty_Info_Period2_6,294
rThirdParty_Info_Period6_13,288
rSocialNetwork_10,278
rThirdParty_Info_Period1_6,277
rThirdParty_Info_Period4_7,277
rThirdParty_Info_Period6_5,275
rThirdParty_Info_Period6_3,272
rThirdParty_Info_Period6_16,263
rThirdParty_Info_Period5_7,261
rThirdParty_Info_Period3_7,258
rThirdParty_Info_Period6_1,256
rSocialNetwork_9,256
rThirdParty_Info_Period6_2,253
rWeblogInfo_17,243
rThirdParty_Info_Period6_7,243
rThirdParty_Info_Period6_8,242
rThirdParty_Info_Period3_11,235
rThirdParty_Info_Period2_11,235
rThirdParty_Info_Period6_4,235
rThirdParty_Info_Period1_11,233
rThirdParty_Info_Period5_6,233
rThirdParty_Info_Period6_6,232
rWeblogInfo_16,219
rThirdParty_Info_Period4_11,213
rThirdParty_Info_Period1_9,208
rThirdParty_Info_Period5_11,207
rThirdParty_Info_Period2_9,207
rThirdParty_Info_Period3_9,205
rWeblogInfo_15,192
rWeblogInfo_6,183
rWeblogInfo_18,176
rWeblogInfo_4,174
rThirdParty_Info_Period6_11,171
rWeblogInfo_8,151
rThirdParty_Info_Period4_9,137
rThirdParty_Info_Period5_9,133
rWeblogInfo_5,125
rThirdParty_Info_Period1_10,119
rThirdParty_Info_Period6_9,116
rUserInfo_10,107
rThirdParty_Info_Period2_12,107
rThirdParty_Info_Period3_12,106
rWeblogInfo_14,96
rThirdParty_Info_Period2_10,96
rWeblogInfo_24,89
rThirdParty_Info_Period5_12,88
rThirdParty_Info_Period1_12,84
rThirdParty_Info_Period4_12,83
rWeblogInfo_33,78
rThirdParty_Info_Period6_12,72
rThirdParty_Info_Period3_10,70
rWeblogInfo_2,69
rWeblogInfo_27,63
rWeblogInfo_36,59
rSocialNetwork_13,57
rWeblogInfo_30,55
rThirdParty_Info_Period6_10,53
rThirdParty_Info_Period4_10,49
rThirdParty_Info_Period5_10,46
rWeblogInfo_39,41
rSocialNetwork_17,36
rWeblogInfo_42,25
rSocialNetwork_14,24
rWeblogInfo_50,15
rSocialNetwork_4,15
rWeblogInfo_45,15
rSocialNetwork_5,13
rWeblogInfo_28,13
rWeblogInfo_48,12
rSocialNetwork_3,12
rThirdParty_Info_Period7_3,12
rWeblogInfo_9,12
rWeblogInfo_25,11
rThirdParty_Info_Period7_5,11
rWeblogInfo_38,10
rWeblogInfo_3,10
rWeblogInfo_34,9
rThirdParty_Info_Period7_1,9
rWeblogInfo_37,8
rWeblogInfo_1,8
rThirdParty_Info_Period7_15,7
rSocialNetwork_16,7
rWeblogInfo_29,7
rThirdParty_Info_Period7_2,7
rThirdParty_Info_Period7_8,6
rThirdParty_Info_Period7_6,6
rWeblogInfo_51,5
rThirdParty_Info_Period7_13,5
rWeblogInfo_26,5
rWeblogInfo_57,4
rThirdParty_Info_Period7_16,4
rThirdParty_Info_Period7_17,4
rThirdParty_Info_Period7_10,4
rThirdParty_Info_Period7_11,4
rThirdParty_Info_Period7_9,4
rThirdParty_Info_Period7_4,4
rWeblogInfo_56,3
rWeblogInfo_58,3
rWeblogInfo_32,3
rWeblogInfo_31,3
rSocialNetwork_15,3
rThirdParty_Info_Period7_14,3
rWeblogInfo_23,3
rWeblogInfo_52,2
rWeblogInfo_53,2
rWeblogInfo_40,2
rSocialNetwork_6,2
rWeblogInfo_35,2
rThirdParty_Info_Period7_7,2
rWeblogInfo_46,2
rSocialNetwork_11,1
rWeblogInfo_12,1
