feature,score
rUserInfo_18,887
rThirdParty_Info_Period2_5,866
rThirdParty_Info_Period1_13,845
rThirdParty_Info_Period3_15,837
rThirdParty_Info_Period2_15,812
rThirdParty_Info_Period2_14,802
rThirdParty_Info_Period2_13,795
rThirdParty_Info_Period2_17,786
rThirdParty_Info_Period2_8,784
rThirdParty_Info_Period2_3,765
rThirdParty_Info_Period1_14,762
rThirdParty_Info_Period2_1,762
rThirdParty_Info_Period1_5,755
rThirdParty_Info_Period1_17,753
rThirdParty_Info_Period1_3,745
rThirdParty_Info_Period3_17,742
rThirdParty_Info_Period2_2,740
rThirdParty_Info_Period1_4,727
rThirdParty_Info_Period3_5,718
rThirdParty_Info_Period1_2,714
rThirdParty_Info_Period3_14,711
rThirdParty_Info_Period4_15,700
rThirdParty_Info_Period1_8,700
rThirdParty_Info_Period1_15,697
rThirdParty_Info_Period5_15,691
rThirdParty_Info_Period3_2,689
rThirdParty_Info_Period4_13,688
rThirdParty_Info_Period3_3,679
rThirdParty_Info_Period2_16,676
rThirdParty_Info_Period1_16,675
rThirdParty_Info_Period5_5,674
rThirdParty_Info_Period3_8,663
rThirdParty_Info_Period5_17,657
rThirdParty_Info_Period2_4,656
rThirdParty_Info_Period4_5,655
rThirdParty_Info_Period4_3,645
rWeblogInfo_7,641
rThirdParty_Info_Period3_16,637
rThirdParty_Info_Period3_4,637
rThirdParty_Info_Period4_17,633
rThirdParty_Info_Period2_6,626
rThirdParty_Info_Period3_13,617
rThirdParty_Info_Period4_1,615
rThirdParty_Info_Period3_1,614
rThirdParty_Info_Period6_15,612
rThirdParty_Info_Period2_7,611
rThirdParty_Info_Period5_13,607
rThirdParty_Info_Period4_14,605
rThirdParty_Info_Period4_16,604
rThirdParty_Info_Period5_14,604
rThirdParty_Info_Period1_7,603
rThirdParty_Info_Period3_7,598
rThirdParty_Info_Period1_1,593
rThirdParty_Info_Period4_4,593
rThirdParty_Info_Period5_3,590
rThirdParty_Info_Period4_8,576
rThirdParty_Info_Period5_16,568
rSocialNetwork_10,566
rSocialNetwork_8,559
rThirdParty_Info_Period5_8,555
rThirdParty_Info_Period5_4,553
rThirdParty_Info_Period4_2,552
rThirdParty_Info_Period6_13,550
rThirdParty_Info_Period5_1,540
rThirdParty_Info_Period6_14,529
rThirdParty_Info_Period3_6,528
rThirdParty_Info_Period6_5,528
rThirdParty_Info_Period2_11,523
rThirdParty_Info_Period6_17,518
rThirdParty_Info_Period4_7,514
rThirdParty_Info_Period6_16,509
rThirdParty_Info_Period1_6,509
rSocialNetwork_9,492
rThirdParty_Info_Period6_3,490
rThirdParty_Info_Period5_2,484
