feature,score
rThirdParty_Info_Period2_5,715
rUserInfo_18,688
rThirdParty_Info_Period2_17,669
rThirdParty_Info_Period2_15,657
rThirdParty_Info_Period1_13,639
rThirdParty_Info_Period2_2,635
rThirdParty_Info_Period1_14,633
rThirdParty_Info_Period2_3,626
rThirdParty_Info_Period3_15,623
rThirdParty_Info_Period1_4,621
rThirdParty_Info_Period3_17,613
rThirdParty_Info_Period4_15,611
rThirdParty_Info_Period2_1,606
rThirdParty_Info_Period3_5,596
rThirdParty_Info_Period1_16,594
rThirdParty_Info_Period2_13,592
rThirdParty_Info_Period2_14,591
rThirdParty_Info_Period1_17,587
rThirdParty_Info_Period1_5,587
rThirdParty_Info_Period1_15,584
rThirdParty_Info_Period3_3,578
rThirdParty_Info_Period1_8,578
rThirdParty_Info_Period2_4,575
rThirdParty_Info_Period3_14,574
rThirdParty_Info_Period2_8,573
rThirdParty_Info_Period4_5,573
rThirdParty_Info_Period5_17,569
rThirdParty_Info_Period5_15,564
rThirdParty_Info_Period4_17,557
rThirdParty_Info_Period3_2,556
rThirdParty_Info_Period2_16,555
rThirdParty_Info_Period1_3,555
rThirdParty_Info_Period3_13,554
rThirdParty_Info_Period4_13,550
rThirdParty_Info_Period5_13,540
rThirdParty_Info_Period4_3,539
rThirdParty_Info_Period3_8,537
rThirdParty_Info_Period6_15,536
rThirdParty_Info_Period2_7,535
rThirdParty_Info_Period5_5,533
rThirdParty_Info_Period1_1,528
rThirdParty_Info_Period3_4,523
rThirdParty_Info_Period1_7,520
rThirdParty_Info_Period1_2,519
rThirdParty_Info_Period5_8,513
rWeblogInfo_7,513
rThirdParty_Info_Period3_1,510
rThirdParty_Info_Period5_14,500
rSocialNetwork_8,495
rThirdParty_Info_Period6_13,494
rThirdParty_Info_Period4_16,493
rThirdParty_Info_Period3_16,490
rThirdParty_Info_Period4_1,478
rThirdParty_Info_Period4_14,470
rThirdParty_Info_Period4_8,467
rThirdParty_Info_Period5_16,465
rThirdParty_Info_Period3_6,465
rThirdParty_Info_Period2_6,457
rThirdParty_Info_Period4_4,449
rThirdParty_Info_Period5_3,446
rThirdParty_Info_Period3_7,442
rThirdParty_Info_Period6_14,437
rSocialNetwork_9,430
rThirdParty_Info_Period4_2,430
rThirdParty_Info_Period6_16,427
rThirdParty_Info_Period6_3,424
rThirdParty_Info_Period1_6,422
rThirdParty_Info_Period2_11,420
rThirdParty_Info_Period4_7,415
rSocialNetwork_10,413
rThirdParty_Info_Period6_5,412
rThirdParty_Info_Period5_4,411
rThirdParty_Info_Period5_1,411
rThirdParty_Info_Period6_17,407
rThirdParty_Info_Period6_8,399
rThirdParty_Info_Period5_6,394
rThirdParty_Info_Period4_6,385
rThirdParty_Info_Period5_7,384
rThirdParty_Info_Period6_4,378
rThirdParty_Info_Period6_1,374
rThirdParty_Info_Period5_2,372
rThirdParty_Info_Period3_11,370
rWeblogInfo_17,361
rThirdParty_Info_Period6_7,352
rThirdParty_Info_Period6_2,341
rThirdParty_Info_Period4_11,332
rWeblogInfo_16,324
rThirdParty_Info_Period1_9,317
rThirdParty_Info_Period2_9,309
rThirdParty_Info_Period6_6,291
rThirdParty_Info_Period1_11,281
rWeblogInfo_18,281
rWeblogInfo_15,277
rWeblogInfo_4,270
rWeblogInfo_6,260
rThirdParty_Info_Period3_9,258
rThirdParty_Info_Period6_11,243
rThirdParty_Info_Period5_11,242
rWeblogInfo_8,237
rWeblogInfo_5,224
rThirdParty_Info_Period4_9,224
rThirdParty_Info_Period5_9,202
rThirdParty_Info_Period6_9,195
rThirdParty_Info_Period2_12,169
rWeblogInfo_14,159
rThirdParty_Info_Period3_12,155
rUserInfo_10,153
rWeblogInfo_24,151
rThirdParty_Info_Period2_10,147
rThirdParty_Info_Period6_12,135
rThirdParty_Info_Period4_12,132
rThirdParty_Info_Period1_12,131
rThirdParty_Info_Period1_10,131
rThirdParty_Info_Period5_12,130
rWeblogInfo_33,115
rWeblogInfo_27,112
rThirdParty_Info_Period3_10,109
rWeblogInfo_2,100
rWeblogInfo_36,99
rThirdParty_Info_Period5_10,91
rThirdParty_Info_Period4_10,89
rWeblogInfo_30,86
rSocialNetwork_13,83
rThirdParty_Info_Period6_10,73
rWeblogInfo_42,64
rWeblogInfo_39,49
rWeblogInfo_48,47
rSocialNetwork_17,45
rSocialNetwork_14,36
rWeblogInfo_9,32
rSocialNetwork_5,31
rWeblogInfo_25,31
rWeblogInfo_50,27
rSocialNetwork_4,22
rWeblogInfo_34,22
rSocialNetwork_15,20
rWeblogInfo_3,20
rThirdParty_Info_Period7_1,20
rWeblogInfo_45,20
rWeblogInfo_29,19
rThirdParty_Info_Period7_2,19
rWeblogInfo_37,18
rThirdParty_Info_Period7_15,18
rWeblogInfo_1,16
rThirdParty_Info_Period7_17,15
rWeblogInfo_28,15
rThirdParty_Info_Period7_5,15
rThirdParty_Info_Period7_8,14
rSocialNetwork_3,13
rThirdParty_Info_Period7_14,13
rThirdParty_Info_Period7_3,13
rWeblogInfo_51,12
rWeblogInfo_38,11
rThirdParty_Info_Period7_16,11
rThirdParty_Info_Period7_13,11
rThirdParty_Info_Period7_6,11
rThirdParty_Info_Period7_4,11
rWeblogInfo_26,10
rThirdParty_Info_Period7_7,9
rWeblogInfo_23,8
rWeblogInfo_57,7
rWeblogInfo_56,6
rSocialNetwork_16,6
rThirdParty_Info_Period7_12,5
rWeblogInfo_35,4
rThirdParty_Info_Period7_9,4
rWeblogInfo_40,3
rWeblogInfo_32,3
rWeblogInfo_31,3
rWeblogInfo_53,2
rSocialNetwork_6,2
rThirdParty_Info_Period7_10,2
rWeblogInfo_43,2
rWeblogInfo_46,2
rWeblogInfo_52,1
rWeblogInfo_54,1
rWeblogInfo_12,1
rThirdParty_Info_Period7_11,1
