feature,score
rThirdParty_Info_Period2_5,662
rThirdParty_Info_Period1_13,622
rThirdParty_Info_Period4_15,616
rThirdParty_Info_Period2_13,611
rThirdParty_Info_Period2_17,610
rThirdParty_Info_Period2_14,600
rThirdParty_Info_Period2_15,599
rThirdParty_Info_Period1_15,597
rThirdParty_Info_Period3_15,597
rThirdParty_Info_Period2_3,593
rThirdParty_Info_Period5_15,581
rThirdParty_Info_Period1_14,580
rThirdParty_Info_Period1_5,578
rUserInfo_18,578
rThirdParty_Info_Period4_5,577
rThirdParty_Info_Period2_1,568
rThirdParty_Info_Period3_17,563
rThirdParty_Info_Period2_16,555
rThirdParty_Info_Period3_5,550
rThirdParty_Info_Period2_8,541
rThirdParty_Info_Period4_17,537
rThirdParty_Info_Period2_4,537
rThirdParty_Info_Period1_3,532
rThirdParty_Info_Period1_4,529
rThirdParty_Info_Period1_17,529
rThirdParty_Info_Period3_8,524
rThirdParty_Info_Period3_14,522
rThirdParty_Info_Period2_2,517
rThirdParty_Info_Period4_14,516
rThirdParty_Info_Period1_8,505
rThirdParty_Info_Period5_17,504
rThirdParty_Info_Period3_4,497
rThirdParty_Info_Period3_13,495
rThirdParty_Info_Period4_3,493
rThirdParty_Info_Period3_3,492
rThirdParty_Info_Period1_16,492
rThirdParty_Info_Period5_13,490
rThirdParty_Info_Period3_16,485
rThirdParty_Info_Period1_7,484
rThirdParty_Info_Period3_2,482
rThirdParty_Info_Period4_8,475
rThirdParty_Info_Period4_16,473
rThirdParty_Info_Period2_7,470
rThirdParty_Info_Period5_14,469
rWeblogInfo_7,464
rThirdParty_Info_Period1_1,462
rThirdParty_Info_Period4_13,461
rThirdParty_Info_Period1_2,460
rThirdParty_Info_Period4_2,457
rThirdParty_Info_Period4_4,454
rThirdParty_Info_Period4_1,452
rSocialNetwork_8,449
rThirdParty_Info_Period6_13,443
rThirdParty_Info_Period6_14,442
rThirdParty_Info_Period3_1,441
rThirdParty_Info_Period5_16,431
rThirdParty_Info_Period5_4,428
rThirdParty_Info_Period4_7,422
rThirdParty_Info_Period5_5,417
rSocialNetwork_10,416
rThirdParty_Info_Period6_17,414
rThirdParty_Info_Period6_15,414
rThirdParty_Info_Period1_6,404
rThirdParty_Info_Period6_5,401
rThirdParty_Info_Period5_3,399
rSocialNetwork_9,398
rThirdParty_Info_Period5_8,397
rThirdParty_Info_Period3_6,397
rThirdParty_Info_Period6_16,396
rThirdParty_Info_Period2_11,393
rThirdParty_Info_Period3_7,392
rThirdParty_Info_Period2_6,389
rThirdParty_Info_Period6_3,371
rThirdParty_Info_Period5_2,368
rThirdParty_Info_Period5_6,364
rThirdParty_Info_Period5_1,355
rThirdParty_Info_Period4_6,351
rThirdParty_Info_Period6_2,350
rWeblogInfo_17,349
rThirdParty_Info_Period5_7,342
rThirdParty_Info_Period6_8,341
rThirdParty_Info_Period6_1,323
rWeblogInfo_16,307
rThirdParty_Info_Period4_11,302
rThirdParty_Info_Period2_9,301
rThirdParty_Info_Period6_4,299
rThirdParty_Info_Period5_11,298
rThirdParty_Info_Period3_11,296
rWeblogInfo_18,293
rThirdParty_Info_Period6_7,292
rThirdParty_Info_Period6_6,291
rThirdParty_Info_Period1_11,290
rThirdParty_Info_Period1_9,273
rThirdParty_Info_Period3_9,271
rWeblogInfo_4,266
rWeblogInfo_15,258
rWeblogInfo_6,250
rThirdParty_Info_Period6_11,229
rWeblogInfo_8,223
rThirdParty_Info_Period4_9,217
rThirdParty_Info_Period5_9,193
rThirdParty_Info_Period6_9,178
rWeblogInfo_5,177
rWeblogInfo_14,163
rThirdParty_Info_Period3_12,157
rThirdParty_Info_Period2_12,150
rWeblogInfo_24,149
rThirdParty_Info_Period1_10,148
rThirdParty_Info_Period5_12,141
rThirdParty_Info_Period4_12,131
rUserInfo_10,127
rThirdParty_Info_Period1_12,124
rThirdParty_Info_Period2_10,117
rWeblogInfo_27,105
rThirdParty_Info_Period5_10,97
rThirdParty_Info_Period4_10,94
rWeblogInfo_33,92
rThirdParty_Info_Period3_10,89
rThirdParty_Info_Period6_12,88
rWeblogInfo_2,88
rWeblogInfo_30,88
rSocialNetwork_13,75
rWeblogInfo_36,70
rWeblogInfo_39,67
rThirdParty_Info_Period6_10,66
rSocialNetwork_17,45
rWeblogInfo_42,38
rWeblogInfo_25,33
rWeblogInfo_48,32
rWeblogInfo_9,27
rWeblogInfo_50,22
rSocialNetwork_14,21
rSocialNetwork_3,21
rSocialNetwork_5,19
rWeblogInfo_34,18
rWeblogInfo_29,18
rSocialNetwork_4,17
rWeblogInfo_37,17
rWeblogInfo_28,16
rThirdParty_Info_Period7_2,16
rThirdParty_Info_Period7_6,15
rWeblogInfo_45,15
rThirdParty_Info_Period7_4,14
rWeblogInfo_56,13
rThirdParty_Info_Period7_17,12
rThirdParty_Info_Period7_8,12
rThirdParty_Info_Period7_1,12
rThirdParty_Info_Period7_5,11
rThirdParty_Info_Period7_3,11
rWeblogInfo_35,10
rWeblogInfo_51,9
rWeblogInfo_38,9
rSocialNetwork_15,9
rThirdParty_Info_Period7_14,9
rWeblogInfo_26,9
rThirdParty_Info_Period7_15,8
rThirdParty_Info_Period7_16,8
rWeblogInfo_3,8
rWeblogInfo_23,7
rThirdParty_Info_Period7_7,7
rWeblogInfo_32,6
rThirdParty_Info_Period7_11,6
rThirdParty_Info_Period7_13,6
rWeblogInfo_1,6
rSocialNetwork_16,5
rWeblogInfo_57,4
rWeblogInfo_31,4
rThirdParty_Info_Period7_12,3
rWeblogInfo_52,2
rWeblogInfo_53,2
rWeblogInfo_40,2
rWeblogInfo_12,2
rWeblogInfo_46,2
rThirdParty_Info_Period7_9,2
rThirdParty_Info_Period7_10,1
