feature,score
rUserInfo_18,427
rThirdParty_Info_Period1_13,415
rThirdParty_Info_Period2_1,415
rThirdParty_Info_Period2_13,412
rThirdParty_Info_Period3_15,410
rThirdParty_Info_Period2_15,407
rThirdParty_Info_Period2_17,395
rThirdParty_Info_Period2_14,392
rThirdParty_Info_Period3_13,391
rThirdParty_Info_Period1_17,389
rThirdParty_Info_Period2_2,387
rThirdParty_Info_Period1_5,383
rThirdParty_Info_Period4_15,382
rThirdParty_Info_Period1_14,378
rThirdParty_Info_Period3_14,377
rThirdParty_Info_Period2_3,375
rThirdParty_Info_Period3_5,371
rThirdParty_Info_Period3_17,366
rThirdParty_Info_Period5_15,365
rThirdParty_Info_Period4_5,365
rThirdParty_Info_Period3_1,355
rThirdParty_Info_Period5_13,354
rThirdParty_Info_Period2_5,354
rThirdParty_Info_Period2_8,352
rThirdParty_Info_Period4_17,350
rThirdParty_Info_Period1_2,347
rThirdParty_Info_Period2_4,347
rThirdParty_Info_Period1_16,344
rThirdParty_Info_Period5_17,341
rThirdParty_Info_Period3_8,336
rThirdParty_Info_Period3_2,331
rThirdParty_Info_Period4_14,329
rThirdParty_Info_Period1_4,329
rThirdParty_Info_Period1_15,329
rThirdParty_Info_Period5_5,329
rThirdParty_Info_Period2_16,328
rThirdParty_Info_Period5_14,320
rThirdParty_Info_Period1_3,318
rThirdParty_Info_Period4_3,317
rThirdParty_Info_Period3_3,316
rThirdParty_Info_Period4_13,315
rThirdParty_Info_Period4_16,314
rThirdParty_Info_Period1_8,308
rThirdParty_Info_Period4_4,308
rThirdParty_Info_Period4_1,305
rThirdParty_Info_Period1_1,304
rThirdParty_Info_Period6_15,304
rThirdParty_Info_Period3_4,301
rSocialNetwork_8,298
rWeblogInfo_7,294
rThirdParty_Info_Period1_7,291
rThirdParty_Info_Period2_7,291
rThirdParty_Info_Period3_16,289
rThirdParty_Info_Period4_2,282
rThirdParty_Info_Period6_13,280
rThirdParty_Info_Period5_3,279
rThirdParty_Info_Period5_16,278
rThirdParty_Info_Period5_8,275
rThirdParty_Info_Period5_2,273
rThirdParty_Info_Period4_8,272
rThirdParty_Info_Period5_1,263
rWeblogInfo_17,261
rThirdParty_Info_Period6_14,259
rThirdParty_Info_Period3_7,259
rThirdParty_Info_Period2_6,259
rThirdParty_Info_Period4_7,257
rThirdParty_Info_Period6_3,250
rThirdParty_Info_Period1_6,249
rThirdParty_Info_Period6_16,246
rThirdParty_Info_Period2_11,245
rThirdParty_Info_Period5_4,245
rThirdParty_Info_Period3_6,245
rSocialNetwork_10,242
rThirdParty_Info_Period6_17,237
rSocialNetwork_9,237
rThirdParty_Info_Period6_2,237
rThirdParty_Info_Period5_6,235
rThirdParty_Info_Period5_7,234
rThirdParty_Info_Period4_6,234
