feature,score
rThirdParty_Info_Period2_17,290
rThirdParty_Info_Period2_15,274
rUserInfo_18,271
rThirdParty_Info_Period3_15,268
rThirdParty_Info_Period1_5,265
rThirdParty_Info_Period1_14,265
rThirdParty_Info_Period2_5,260
rThirdParty_Info_Period4_15,259
rThirdParty_Info_Period2_14,255
rThirdParty_Info_Period2_13,252
rThirdParty_Info_Period3_17,249
rThirdParty_Info_Period3_14,246
rThirdParty_Info_Period4_5,246
rThirdParty_Info_Period4_14,243
rThirdParty_Info_Period2_16,240
rThirdParty_Info_Period1_16,238
rThirdParty_Info_Period2_8,235
rThirdParty_Info_Period3_1,234
rThirdParty_Info_Period2_4,233
rThirdParty_Info_Period3_3,229
rThirdParty_Info_Period1_8,226
rThirdParty_Info_Period1_13,223
rThirdParty_Info_Period1_4,222
rThirdParty_Info_Period1_17,222
rThirdParty_Info_Period5_14,222
rThirdParty_Info_Period5_17,221
rThirdParty_Info_Period3_5,221
rThirdParty_Info_Period2_3,220
rThirdParty_Info_Period2_1,219
rThirdParty_Info_Period1_3,217
rThirdParty_Info_Period5_15,216
rThirdParty_Info_Period2_2,213
rThirdParty_Info_Period1_15,212
rThirdParty_Info_Period3_4,212
rThirdParty_Info_Period4_3,211
rThirdParty_Info_Period1_7,208
rThirdParty_Info_Period3_13,207
rThirdParty_Info_Period3_8,205
rWeblogInfo_7,203
rThirdParty_Info_Period4_4,203
rThirdParty_Info_Period4_16,202
rThirdParty_Info_Period4_13,201
rThirdParty_Info_Period4_17,199
rThirdParty_Info_Period4_1,199
rThirdParty_Info_Period6_13,198
rThirdParty_Info_Period2_7,197
rThirdParty_Info_Period6_14,193
rThirdParty_Info_Period3_16,192
rThirdParty_Info_Period4_2,190
rThirdParty_Info_Period1_2,188
rThirdParty_Info_Period4_8,187
rThirdParty_Info_Period5_5,186
rThirdParty_Info_Period3_2,184
rThirdParty_Info_Period5_1,182
rThirdParty_Info_Period5_16,181
rThirdParty_Info_Period5_8,176
rThirdParty_Info_Period2_6,176
rThirdParty_Info_Period6_15,173
rThirdParty_Info_Period5_13,172
rThirdParty_Info_Period1_1,172
rThirdParty_Info_Period5_2,170
rThirdParty_Info_Period6_5,167
rThirdParty_Info_Period6_17,166
rThirdParty_Info_Period6_1,165
rThirdParty_Info_Period1_6,164
rThirdParty_Info_Period4_7,164
rThirdParty_Info_Period3_7,162
rThirdParty_Info_Period3_6,160
rThirdParty_Info_Period6_16,155
rThirdParty_Info_Period5_3,154
rThirdParty_Info_Period4_6,153
rSocialNetwork_9,149
rThirdParty_Info_Period5_4,149
rThirdParty_Info_Period5_6,149
rThirdParty_Info_Period6_2,145
rThirdParty_Info_Period2_11,145
rSocialNetwork_8,139
rWeblogInfo_17,137
rSocialNetwork_10,136
rThirdParty_Info_Period6_3,136
rThirdParty_Info_Period4_11,133
rThirdParty_Info_Period6_7,131
rThirdParty_Info_Period1_11,129
rThirdParty_Info_Period5_7,126
rWeblogInfo_6,125
rThirdParty_Info_Period3_11,123
rThirdParty_Info_Period6_4,122
rThirdParty_Info_Period6_6,121
rThirdParty_Info_Period6_8,120
rWeblogInfo_15,116
rWeblogInfo_16,114
rThirdParty_Info_Period1_9,114
rThirdParty_Info_Period6_11,109
rThirdParty_Info_Period2_9,103
rThirdParty_Info_Period3_9,103
rWeblogInfo_4,97
rWeblogInfo_18,94
rThirdParty_Info_Period5_11,90
rThirdParty_Info_Period5_9,78
rThirdParty_Info_Period4_9,73
rThirdParty_Info_Period2_12,71
rWeblogInfo_8,67
rThirdParty_Info_Period1_12,64
rThirdParty_Info_Period6_9,61
rWeblogInfo_5,60
rThirdParty_Info_Period3_12,57
rThirdParty_Info_Period2_10,55
rThirdParty_Info_Period4_12,52
rWeblogInfo_14,52
rUserInfo_10,52
rThirdParty_Info_Period5_12,50
rWeblogInfo_24,49
rThirdParty_Info_Period6_12,46
rThirdParty_Info_Period1_10,46
rSocialNetwork_13,40
rThirdParty_Info_Period3_10,36
rWeblogInfo_2,34
rThirdParty_Info_Period5_10,32
rWeblogInfo_30,32
rWeblogInfo_33,30
rWeblogInfo_27,28
rThirdParty_Info_Period4_10,27
rThirdParty_Info_Period6_10,26
rWeblogInfo_36,20
rWeblogInfo_39,19
rWeblogInfo_42,12
rSocialNetwork_17,12
rSocialNetwork_14,11
rWeblogInfo_48,11
rWeblogInfo_25,9
rSocialNetwork_4,6
rSocialNetwork_5,6
rThirdParty_Info_Period7_2,5
rWeblogInfo_45,5
rWeblogInfo_9,4
rThirdParty_Info_Period7_4,4
rSocialNetwork_3,3
rWeblogInfo_38,3
rSocialNetwork_15,3
rThirdParty_Info_Period7_6,3
rThirdParty_Info_Period7_5,3
rThirdParty_Info_Period7_1,3
rWeblogInfo_51,2
rThirdParty_Info_Period7_15,2
rWeblogInfo_34,2
rThirdParty_Info_Period7_17,2
rWeblogInfo_29,2
rWeblogInfo_3,2
rWeblogInfo_50,1
rWeblogInfo_53,1
rWeblogInfo_56,1
rWeblogInfo_57,1
rSocialNetwork_16,1
rWeblogInfo_32,1
rWeblogInfo_37,1
rWeblogInfo_35,1
rThirdParty_Info_Period7_14,1
rThirdParty_Info_Period7_16,1
rThirdParty_Info_Period7_11,1
rThirdParty_Info_Period7_13,1
rWeblogInfo_28,1
rWeblogInfo_26,1
rThirdParty_Info_Period7_7,1
rThirdParty_Info_Period7_3,1
rThirdParty_Info_Period7_9,1
