feature,score
rThirdParty_Info_Period2_15,303
rThirdParty_Info_Period2_17,296
rThirdParty_Info_Period1_15,284
rThirdParty_Info_Period2_13,278
rThirdParty_Info_Period2_16,276
rThirdParty_Info_Period2_5,273
rThirdParty_Info_Period2_14,270
rUserInfo_18,264
rThirdParty_Info_Period2_2,261
rThirdParty_Info_Period5_15,258
rThirdParty_Info_Period2_3,254
rThirdParty_Info_Period2_4,254
rThirdParty_Info_Period4_13,251
rThirdParty_Info_Period1_17,250
rThirdParty_Info_Period4_5,249
rThirdParty_Info_Period3_15,247
rThirdParty_Info_Period3_17,246
rThirdParty_Info_Period1_4,246
rThirdParty_Info_Period4_15,239
rThirdParty_Info_Period2_1,239
rThirdParty_Info_Period1_14,238
rThirdParty_Info_Period2_8,237
rThirdParty_Info_Period3_14,233
rThirdParty_Info_Period3_3,232
rThirdParty_Info_Period6_15,231
rThirdParty_Info_Period3_13,230
rThirdParty_Info_Period5_5,229
rThirdParty_Info_Period1_16,226
rThirdParty_Info_Period4_14,224
rThirdParty_Info_Period1_13,224
rThirdParty_Info_Period3_1,222
rThirdParty_Info_Period1_5,220
rThirdParty_Info_Period4_16,217
rThirdParty_Info_Period3_2,217
rThirdParty_Info_Period1_8,217
rThirdParty_Info_Period5_13,214
rThirdParty_Info_Period2_7,214
rThirdParty_Info_Period5_14,213
rThirdParty_Info_Period3_5,213
rThirdParty_Info_Period3_8,212
rThirdParty_Info_Period1_7,208
rThirdParty_Info_Period3_16,207
rThirdParty_Info_Period5_16,207
rThirdParty_Info_Period5_17,205
rThirdParty_Info_Period1_3,203
rThirdParty_Info_Period4_3,203
rThirdParty_Info_Period3_4,201
rThirdParty_Info_Period4_17,197
rThirdParty_Info_Period6_13,197
rThirdParty_Info_Period5_8,195
rThirdParty_Info_Period4_1,195
rThirdParty_Info_Period4_2,195
rThirdParty_Info_Period4_4,193
rThirdParty_Info_Period1_1,192
rThirdParty_Info_Period1_2,192
rThirdParty_Info_Period5_2,190
rThirdParty_Info_Period6_3,188
rThirdParty_Info_Period6_17,186
rWeblogInfo_7,184
rThirdParty_Info_Period6_16,183
rSocialNetwork_8,183
rThirdParty_Info_Period5_1,183
rThirdParty_Info_Period5_3,183
rThirdParty_Info_Period5_4,181
rThirdParty_Info_Period3_7,176
rThirdParty_Info_Period3_6,175
rThirdParty_Info_Period6_14,173
rThirdParty_Info_Period4_6,172
rThirdParty_Info_Period4_8,172
rThirdParty_Info_Period1_6,165
rThirdParty_Info_Period2_6,165
rThirdParty_Info_Period4_7,165
rThirdParty_Info_Period6_5,158
rThirdParty_Info_Period2_11,151
rThirdParty_Info_Period4_11,149
rThirdParty_Info_Period5_6,148
rThirdParty_Info_Period6_2,148
rThirdParty_Info_Period6_8,148
rSocialNetwork_10,142
rThirdParty_Info_Period6_4,142
rThirdParty_Info_Period3_11,139
rThirdParty_Info_Period6_1,136
rWeblogInfo_17,135
rThirdParty_Info_Period6_7,131
rThirdParty_Info_Period5_7,130
rSocialNetwork_9,129
rWeblogInfo_18,124
rThirdParty_Info_Period1_9,124
rThirdParty_Info_Period2_9,123
rThirdParty_Info_Period1_11,119
rThirdParty_Info_Period5_11,118
rWeblogInfo_16,117
rThirdParty_Info_Period6_6,111
rWeblogInfo_15,107
rThirdParty_Info_Period3_9,104
rWeblogInfo_6,102
rThirdParty_Info_Period6_11,101
rWeblogInfo_4,94
rThirdParty_Info_Period5_9,87
rThirdParty_Info_Period4_9,85
rWeblogInfo_5,71
rThirdParty_Info_Period3_12,71
rThirdParty_Info_Period6_9,66
rWeblogInfo_8,66
rThirdParty_Info_Period2_10,61
rThirdParty_Info_Period5_12,60
rThirdParty_Info_Period2_12,59
rUserInfo_10,55
rThirdParty_Info_Period4_12,54
rThirdParty_Info_Period1_12,54
rWeblogInfo_14,53
rThirdParty_Info_Period1_10,53
rThirdParty_Info_Period6_12,48
rWeblogInfo_2,43
rWeblogInfo_33,41
rWeblogInfo_24,40
rSocialNetwork_13,36
rThirdParty_Info_Period3_10,33
rThirdParty_Info_Period5_10,32
rWeblogInfo_27,29
rThirdParty_Info_Period4_10,28
rWeblogInfo_39,27
rWeblogInfo_36,27
rThirdParty_Info_Period6_10,20
rSocialNetwork_17,18
rWeblogInfo_30,18
rWeblogInfo_42,15
rSocialNetwork_14,14
rThirdParty_Info_Period7_4,8
rSocialNetwork_5,7
rWeblogInfo_48,6
rSocialNetwork_3,6
rSocialNetwork_15,6
rWeblogInfo_9,6
rWeblogInfo_29,5
rWeblogInfo_25,5
rThirdParty_Info_Period7_15,4
rThirdParty_Info_Period7_6,4
rWeblogInfo_45,4
rWeblogInfo_50,3
rWeblogInfo_51,3
rWeblogInfo_38,3
rThirdParty_Info_Period7_14,3
rThirdParty_Info_Period7_17,3
rWeblogInfo_28,3
rWeblogInfo_3,3
rThirdParty_Info_Period7_2,3
rThirdParty_Info_Period7_3,3
rWeblogInfo_1,3
rWeblogInfo_31,3
rWeblogInfo_56,2
rSocialNetwork_16,2
rSocialNetwork_4,2
rThirdParty_Info_Period7_13,2
rThirdParty_Info_Period7_8,2
rThirdParty_Info_Period7_7,2
rThirdParty_Info_Period7_5,2
rThirdParty_Info_Period7_1,2
rThirdParty_Info_Period7_9,2
rWeblogInfo_52,1
rSocialNetwork_6,1
rWeblogInfo_37,1
rWeblogInfo_35,1
rWeblogInfo_23,1
rWeblogInfo_46,1
