feature,score
rUserInfo_18,469
rThirdParty_Info_Period3_15,464
rThirdParty_Info_Period2_5,464
rThirdParty_Info_Period2_13,462
rThirdParty_Info_Period1_17,449
rThirdParty_Info_Period2_17,447
rThirdParty_Info_Period4_15,444
rThirdParty_Info_Period1_14,441
rThirdParty_Info_Period2_15,440
rThirdParty_Info_Period2_16,439
rThirdParty_Info_Period3_13,432
rThirdParty_Info_Period5_15,431
rThirdParty_Info_Period1_13,430
rThirdParty_Info_Period2_2,430
rThirdParty_Info_Period2_8,425
rThirdParty_Info_Period1_4,424
rThirdParty_Info_Period2_1,424
rThirdParty_Info_Period3_5,416
rThirdParty_Info_Period4_17,415
rThirdParty_Info_Period2_14,409
rThirdParty_Info_Period3_14,406
rThirdParty_Info_Period3_1,405
rThirdParty_Info_Period1_15,404
rThirdParty_Info_Period1_1,399
rThirdParty_Info_Period4_3,396
rThirdParty_Info_Period4_13,395
rThirdParty_Info_Period4_5,393
rThirdParty_Info_Period1_5,388
rThirdParty_Info_Period1_3,388
rThirdParty_Info_Period3_2,386
rThirdParty_Info_Period1_2,384
rThirdParty_Info_Period3_17,379
rThirdParty_Info_Period1_16,371
rThirdParty_Info_Period4_16,370
rThirdParty_Info_Period5_17,367
rThirdParty_Info_Period5_5,364
rThirdParty_Info_Period5_14,363
rWeblogInfo_7,363
rThirdParty_Info_Period4_14,360
rThirdParty_Info_Period5_13,360
rThirdParty_Info_Period3_3,360
rThirdParty_Info_Period2_3,357
rThirdParty_Info_Period3_16,355
rThirdParty_Info_Period3_8,353
rThirdParty_Info_Period1_7,351
rThirdParty_Info_Period3_4,350
rThirdParty_Info_Period4_4,350
rThirdParty_Info_Period2_4,348
rThirdParty_Info_Period4_1,344
rThirdParty_Info_Period5_8,340
rThirdParty_Info_Period1_8,334
rThirdParty_Info_Period5_1,331
rThirdParty_Info_Period6_13,324
rThirdParty_Info_Period6_15,318
rThirdParty_Info_Period5_4,314
rThirdParty_Info_Period3_6,314
rThirdParty_Info_Period2_6,313
rThirdParty_Info_Period5_2,312
rThirdParty_Info_Period2_7,311
rThirdParty_Info_Period5_3,310
rThirdParty_Info_Period4_2,309
rThirdParty_Info_Period4_8,305
rThirdParty_Info_Period1_6,300
rSocialNetwork_8,300
rThirdParty_Info_Period6_5,299
rThirdParty_Info_Period6_3,292
rSocialNetwork_10,291
rSocialNetwork_9,290
rThirdParty_Info_Period3_7,290
rThirdParty_Info_Period6_17,289
rThirdParty_Info_Period6_8,288
rWeblogInfo_17,283
rThirdParty_Info_Period6_16,281
rThirdParty_Info_Period5_7,279
rThirdParty_Info_Period6_14,278
rThirdParty_Info_Period5_16,275
rThirdParty_Info_Period6_2,270
rThirdParty_Info_Period4_7,267
rThirdParty_Info_Period4_6,265
rThirdParty_Info_Period4_11,256
rThirdParty_Info_Period6_1,256
rThirdParty_Info_Period2_11,250
rThirdParty_Info_Period5_6,247
rThirdParty_Info_Period6_4,237
rThirdParty_Info_Period2_9,233
rWeblogInfo_16,232
rThirdParty_Info_Period3_11,226
rThirdParty_Info_Period1_9,222
rThirdParty_Info_Period6_7,217
rThirdParty_Info_Period6_6,217
rThirdParty_Info_Period5_11,216
rThirdParty_Info_Period1_11,213
rWeblogInfo_6,197
rWeblogInfo_15,191
rWeblogInfo_18,190
rWeblogInfo_4,188
rThirdParty_Info_Period6_11,181
rThirdParty_Info_Period3_9,178
rThirdParty_Info_Period4_9,170
rWeblogInfo_8,144
rWeblogInfo_5,138
rThirdParty_Info_Period5_9,136
rThirdParty_Info_Period6_9,130
rThirdParty_Info_Period2_12,111
rThirdParty_Info_Period1_10,107
