feature,score
rThirdParty_Info_Period2_5,828
rUserInfo_18,806
rThirdParty_Info_Period1_14,731
rThirdParty_Info_Period2_13,731
rThirdParty_Info_Period3_15,718
rThirdParty_Info_Period2_15,709
rThirdParty_Info_Period2_2,709
rThirdParty_Info_Period2_17,704
rThirdParty_Info_Period3_17,694
rThirdParty_Info_Period4_15,693
rThirdParty_Info_Period2_14,684
rThirdParty_Info_Period1_17,680
rThirdParty_Info_Period1_13,677
rThirdParty_Info_Period2_3,672
rThirdParty_Info_Period3_14,671
rThirdParty_Info_Period2_1,667
rThirdParty_Info_Period1_4,665
rThirdParty_Info_Period1_5,665
rThirdParty_Info_Period2_16,662
rThirdParty_Info_Period4_5,662
rThirdParty_Info_Period4_13,661
rThirdParty_Info_Period2_8,658
rThirdParty_Info_Period3_5,650
rThirdParty_Info_Period3_3,649
rThirdParty_Info_Period1_3,639
rThirdParty_Info_Period1_15,638
rThirdParty_Info_Period5_15,632
rThirdParty_Info_Period4_17,628
rThirdParty_Info_Period3_8,626
rThirdParty_Info_Period3_13,616
rThirdParty_Info_Period1_16,615
rThirdParty_Info_Period2_7,610
rThirdParty_Info_Period5_14,607
rThirdParty_Info_Period1_1,606
rThirdParty_Info_Period4_3,604
rThirdParty_Info_Period4_14,602
rThirdParty_Info_Period5_13,600
rThirdParty_Info_Period5_17,591
rThirdParty_Info_Period2_4,590
rThirdParty_Info_Period4_16,588
rThirdParty_Info_Period3_6,585
rThirdParty_Info_Period1_7,579
rThirdParty_Info_Period3_4,578
rThirdParty_Info_Period1_8,576
rThirdParty_Info_Period5_5,575
rThirdParty_Info_Period3_1,574
rThirdParty_Info_Period1_2,572
rThirdParty_Info_Period3_2,567
rWeblogInfo_7,555
rSocialNetwork_9,544
rThirdParty_Info_Period3_16,537
rThirdParty_Info_Period6_13,536
rThirdParty_Info_Period6_14,531
rThirdParty_Info_Period6_15,522
rThirdParty_Info_Period4_7,522
rThirdParty_Info_Period4_4,521
rSocialNetwork_8,512
rThirdParty_Info_Period4_2,512
rThirdParty_Info_Period5_16,508
rThirdParty_Info_Period2_6,504
rThirdParty_Info_Period6_17,502
rThirdParty_Info_Period5_8,502
rThirdParty_Info_Period3_7,497
rThirdParty_Info_Period5_4,495
rThirdParty_Info_Period1_6,494
rThirdParty_Info_Period4_1,492
rThirdParty_Info_Period5_3,489
rThirdParty_Info_Period4_8,489
rSocialNetwork_10,488
rThirdParty_Info_Period5_1,468
rThirdParty_Info_Period6_5,463
rThirdParty_Info_Period6_3,463
rThirdParty_Info_Period5_2,457
rWeblogInfo_17,441
rThirdParty_Info_Period5_6,440
rThirdParty_Info_Period5_7,436
rThirdParty_Info_Period2_11,432
rThirdParty_Info_Period4_6,425
rThirdParty_Info_Period6_8,412
rThirdParty_Info_Period6_16,409
rThirdParty_Info_Period6_2,408
rThirdParty_Info_Period6_1,402
rThirdParty_Info_Period4_11,393
rThirdParty_Info_Period1_11,392
rThirdParty_Info_Period3_11,387
rWeblogInfo_16,383
rThirdParty_Info_Period2_9,379
rThirdParty_Info_Period6_4,377
rThirdParty_Info_Period6_7,363
rWeblogInfo_4,341
rThirdParty_Info_Period6_6,340
rWeblogInfo_18,326
rThirdParty_Info_Period1_9,313
rThirdParty_Info_Period5_11,310
rWeblogInfo_15,299
rThirdParty_Info_Period3_9,298
rWeblogInfo_6,295
rThirdParty_Info_Period6_11,281
rWeblogInfo_5,279
rThirdParty_Info_Period4_9,263
rWeblogInfo_8,253
rThirdParty_Info_Period5_9,248
rThirdParty_Info_Period6_9,207
rThirdParty_Info_Period2_12,203
rThirdParty_Info_Period3_12,190
rWeblogInfo_14,169
rThirdParty_Info_Period1_10,168
rWeblogInfo_24,167
rThirdParty_Info_Period4_12,164
rThirdParty_Info_Period5_12,162
rUserInfo_10,160
rThirdParty_Info_Period2_10,152
rThirdParty_Info_Period1_12,139
rThirdParty_Info_Period3_10,130
rThirdParty_Info_Period6_12,130
rWeblogInfo_33,120
rWeblogInfo_27,120
rWeblogInfo_36,112
rThirdParty_Info_Period5_10,105
rWeblogInfo_2,96
rWeblogInfo_30,92
rSocialNetwork_13,90
rThirdParty_Info_Period4_10,79
rWeblogInfo_39,79
rThirdParty_Info_Period6_10,62
rWeblogInfo_42,53
rSocialNetwork_17,50
rWeblogInfo_48,44
rSocialNetwork_14,39
rThirdParty_Info_Period7_3,33
rWeblogInfo_25,32
rWeblogInfo_50,30
rWeblogInfo_34,29
rWeblogInfo_29,29
rSocialNetwork_3,28
rWeblogInfo_9,28
rThirdParty_Info_Period7_4,25
rSocialNetwork_5,24
rWeblogInfo_3,24
rSocialNetwork_4,22
rWeblogInfo_45,22
rWeblogInfo_38,19
rWeblogInfo_26,19
rWeblogInfo_51,17
rWeblogInfo_1,16
rThirdParty_Info_Period7_15,15
rThirdParty_Info_Period7_13,15
rThirdParty_Info_Period7_8,14
rThirdParty_Info_Period7_5,14
rThirdParty_Info_Period7_17,13
rThirdParty_Info_Period7_14,13
rThirdParty_Info_Period7_1,13
rWeblogInfo_37,12
rSocialNetwork_15,12
rThirdParty_Info_Period7_7,12
rWeblogInfo_56,11
rWeblogInfo_28,11
rThirdParty_Info_Period7_6,11
rWeblogInfo_32,10
rThirdParty_Info_Period7_2,10
rSocialNetwork_16,9
rWeblogInfo_31,9
rWeblogInfo_35,9
rThirdParty_Info_Period7_11,9
rThirdParty_Info_Period7_16,8
rWeblogInfo_57,7
rSocialNetwork_6,6
rWeblogInfo_53,5
rThirdParty_Info_Period7_10,4
rThirdParty_Info_Period7_12,4
rWeblogInfo_23,4
rWeblogInfo_52,2
rWeblogInfo_54,2
