feature,score
rThirdParty_Info_Period2_15,298
rThirdParty_Info_Period2_17,290
rThirdParty_Info_Period3_13,280
rThirdParty_Info_Period2_14,279
rThirdParty_Info_Period1_13,274
rThirdParty_Info_Period4_5,269
rThirdParty_Info_Period1_15,266
rThirdParty_Info_Period2_2,264
rThirdParty_Info_Period2_13,262
rThirdParty_Info_Period2_3,259
rThirdParty_Info_Period4_15,257
rThirdParty_Info_Period2_5,257
rUserInfo_18,255
rThirdParty_Info_Period2_16,250
rThirdParty_Info_Period3_5,250
rThirdParty_Info_Period3_17,248
rThirdParty_Info_Period2_1,248
rThirdParty_Info_Period3_14,247
rThirdParty_Info_Period1_3,247
rThirdParty_Info_Period3_15,242
rThirdParty_Info_Period5_15,241
rThirdParty_Info_Period1_14,240
rThirdParty_Info_Period1_4,240
rThirdParty_Info_Period1_7,240
rThirdParty_Info_Period2_8,237
rThirdParty_Info_Period4_17,235
rThirdParty_Info_Period4_16,235
rThirdParty_Info_Period1_17,235
rThirdParty_Info_Period5_13,233
rThirdParty_Info_Period5_14,229
rThirdParty_Info_Period2_7,229
rThirdParty_Info_Period4_14,225
rThirdParty_Info_Period3_1,225
rThirdParty_Info_Period6_15,224
rThirdParty_Info_Period5_17,224
rThirdParty_Info_Period3_8,224
rThirdParty_Info_Period3_3,221
rThirdParty_Info_Period2_4,218
rWeblogInfo_7,218
rThirdParty_Info_Period4_13,216
rThirdParty_Info_Period4_3,216
rThirdParty_Info_Period6_13,213
rThirdParty_Info_Period5_5,212
rThirdParty_Info_Period3_4,211
rThirdParty_Info_Period3_2,210
rThirdParty_Info_Period1_5,210
rThirdParty_Info_Period1_16,209
rThirdParty_Info_Period5_16,199
rThirdParty_Info_Period4_8,198
rThirdParty_Info_Period6_14,197
rThirdParty_Info_Period4_2,197
rThirdParty_Info_Period4_4,197
rThirdParty_Info_Period1_1,194
rThirdParty_Info_Period1_8,193
rThirdParty_Info_Period1_2,191
rThirdParty_Info_Period2_6,188
rSocialNetwork_8,187
rThirdParty_Info_Period5_8,185
rThirdParty_Info_Period3_16,184
rThirdParty_Info_Period3_6,183
rThirdParty_Info_Period5_4,182
rThirdParty_Info_Period4_1,181
rThirdParty_Info_Period6_17,179
rThirdParty_Info_Period5_3,177
rThirdParty_Info_Period1_6,170
rThirdParty_Info_Period5_1,168
rThirdParty_Info_Period3_7,163
rWeblogInfo_17,162
rThirdParty_Info_Period2_11,162
rThirdParty_Info_Period6_2,161
rThirdParty_Info_Period5_6,158
rThirdParty_Info_Period4_7,157
rSocialNetwork_10,152
rThirdParty_Info_Period6_5,149
rThirdParty_Info_Period5_2,149
rThirdParty_Info_Period6_7,145
rThirdParty_Info_Period6_16,142
rThirdParty_Info_Period6_4,141
rThirdParty_Info_Period6_8,141
rThirdParty_Info_Period5_7,140
rThirdParty_Info_Period2_9,137
rThirdParty_Info_Period6_3,137
rSocialNetwork_9,136
rThirdParty_Info_Period4_6,131
rThirdParty_Info_Period6_1,125
rWeblogInfo_6,124
rThirdParty_Info_Period4_11,123
rThirdParty_Info_Period3_11,123
rWeblogInfo_15,122
rWeblogInfo_16,120
rThirdParty_Info_Period1_11,120
rWeblogInfo_4,119
rThirdParty_Info_Period1_9,114
rThirdParty_Info_Period6_11,112
rThirdParty_Info_Period3_9,112
rThirdParty_Info_Period6_6,110
rThirdParty_Info_Period5_11,109
rWeblogInfo_18,98
rThirdParty_Info_Period5_9,89
rWeblogInfo_5,88
rWeblogInfo_8,80
rThirdParty_Info_Period4_9,79
rWeblogInfo_14,64
rThirdParty_Info_Period3_12,60
rUserInfo_10,59
rThirdParty_Info_Period2_10,59
rThirdParty_Info_Period6_9,59
rThirdParty_Info_Period5_12,57
rThirdParty_Info_Period2_12,57
rThirdParty_Info_Period4_12,53
rThirdParty_Info_Period1_10,52
rWeblogInfo_24,50
rThirdParty_Info_Period6_12,49
rSocialNetwork_13,49
rThirdParty_Info_Period1_12,46
rThirdParty_Info_Period3_10,45
rWeblogInfo_2,42
rWeblogInfo_33,39
